Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
31.01.2020,"50,27","50,96","51,06","49,80","29,99M","-2,39%"
30.01.2020,"51,50","49,97","51,50","49,80","23,08M","1,48%"
29.01.2020,"50,75","51,70","51,89","50,46","23,32M","-0,88%"
28.01.2020,"51,20","51,20","52,09","51,08","23,05M","1,37%"
27.01.2020,"50,51","51,66","51,82","50,48","38,78M","-6,12%"
24.01.2020,"53,80","55,62","55,73","53,69","19,74M","-3,06%"
23.01.2020,"55,50","55,43","55,73","54,71","23,03M","-1,42%"
22.01.2020,"56,30","56,60","56,85","56,06","17,27M","0,48%"
21.01.2020,"56,03","56,80","57,01","55,74","25,44M","-2,32%"
20.01.2020,"57,36","57,00","57,36","56,53","16,75M","0,63%"
17.01.2020,"57,00","56,25","57,09","56,10","36,52M","3,32%"
16.01.2020,"55,17","55,60","55,95","55,10","13,15M","-0,52%"
15.01.2020,"55,46","55,30","56,08","55,11","21,43M","-0,32%"
14.01.2020,"55,64","55,30","56,35","55,00","27,82M","0,61%"
13.01.2020,"55,30","53,64","55,64","53,51","27,50M","3,64%"
10.01.2020,"53,36","53,75","53,87","53,11","9,13M","0,11%"
09.01.2020,"53,30","53,75","53,87","53,05","14,64M","-1,31%"
08.01.2020,"54,01","54,20","54,37","53,62","15,30M","0,02%"
07.01.2020,"54,00","53,50","54,19","53,40","16,33M","0,73%"
06.01.2020,"53,61","53,80","53,80","53,15","32,79M","-0,59%"
03.01.2020,"53,93","53,68","54,50","53,58","17,28M","-0,74%"
02.01.2020,"54,33","53,98","54,44","53,75","17,51M","1,93%"
30.12.2019,"53,30","53,65","53,86","53,20","11,93M","-0,56%"
27.12.2019,"53,60","53,99","54,00","53,42","13,92M","0,41%"
26.12.2019,"53,38","53,40","53,58","53,10","20,41M","0,39%"
23.12.2019,"53,17","53,48","53,56","53,00","10,23M","-0,39%"
20.12.2019,"53,38","53,36","53,57","52,75","42,12M","1,46%"
19.12.2019,"52,61","52,12","52,84","51,85","17,68M","1,00%"
18.12.2019,"52,09","51,90","52,16","51,24","22,92M","0,23%"
17.12.2019,"51,97","51,88","52,32","51,68","13,57M","0,02%"
16.12.2019,"51,96","53,09","53,26","51,96","21,81M","-0,78%"
13.12.2019,"52,37","51,92","52,61","51,48","28,17M","-1,10%"
12.12.2019,"52,95","52,10","53,06","51,73","25,14M","2,16%"
11.12.2019,"51,83","51,38","52,05","51,22","15,57M","1,23%"
10.12.2019,"51,20","51,22","51,43","50,90","13,88M","-0,47%"
09.12.2019,"51,44","52,25","52,49","51,33","19,39M","0,18%"
06.12.2019,"51,35","51,25","51,69","51,03","13,89M","0,79%"
05.12.2019,"50,95","50,70","51,08","50,55","9,50M","0,06%"
04.12.2019,"50,92","50,83","51,03","50,53","9,11M","0,99%"
03.12.2019,"50,42","51,25","51,26","50,25","13,48M","-1,79%"
02.12.2019,"51,34","50,15","51,69","50,11","23,95M","2,72%"
29.11.2019,"49,98","50,37","50,47","49,82","10,29M","-0,77%"
28.11.2019,"50,37","50,56","50,88","49,69","10,15M","-0,42%"
27.11.2019,"50,58","50,93","51,20","50,13","13,51M","-1,25%"
26.11.2019,"51,22","50,60","51,50","50,46","32,45M","0,71%"
25.11.2019,"50,86","50,54","51,18","50,43","24,51M","1,66%"
22.11.2019,"50,03","48,55","50,03","48,55","27,68M","3,33%"
21.11.2019,"48,42","47,76","48,42","47,70","15,62M","0,52%"
19.11.2019,"48,17","48,11","48,49","47,72","13,11M","1,18%"
18.11.2019,"47,61","47,72","48,05","47,48","16,78M","1,30%"
14.11.2019,"47,00","47,35","47,58","46,96","14,16M","-0,25%"
13.11.2019,"47,12","47,65","48,06","46,97","16,88M","-1,63%"
12.11.2019,"47,90","48,30","48,49","47,90","13,13M","-0,48%"
11.11.2019,"48,13","48,44","48,44","47,96","20,39M","-2,14%"
08.11.2019,"49,18","49,33","49,55","48,81","19,85M","-1,86%"
07.11.2019,"50,11","49,84","50,53","49,54","26,79M","0,85%"
06.11.2019,"49,69","49,90","49,97","48,90","14,88M","-0,36%"
05.11.2019,"49,87","50,07","50,28","49,43","15,95M","0,10%"
04.11.2019,"49,82","49,08","49,82","49,08","20,98M","2,85%"
01.11.2019,"48,44","47,80","48,70","47,76","20,11M","2,63%"
31.10.2019,"47,20","48,10","48,48","46,86","21,66M","-2,86%"
30.10.2019,"48,59","48,40","48,62","47,69","15,26M","-0,12%"
29.10.2019,"48,65","48,41","48,80","48,08","9,95M","-0,10%"
28.10.2019,"48,70","48,65","48,80","48,34","10,89M","0,29%"
25.10.2019,"48,56","47,75","48,56","47,55","21,68M","3,87%"
24.10.2019,"46,75","47,46","47,57","46,52","14,46M","-0,76%"
23.10.2019,"47,11","47,60","47,83","47,03","12,30M","-0,40%"
22.10.2019,"47,30","47,28","47,54","47,10","15,11M","0,19%"
21.10.2019,"47,21","46,42","47,21","46,26","13,25M","2,56%"
18.10.2019,"46,03","46,89","47,18","46,02","16,37M","-1,46%"
17.10.2019,"46,71","46,99","47,05","46,61","14,11M","-0,19%"
16.10.2019,"46,80","47,39","47,52","46,64","24,34M","-2,32%"
15.10.2019,"47,91","47,88","48,29","47,53","14,60M","-0,17%"
14.10.2019,"47,99","48,20","48,25","47,56","11,48M","-1,34%"
11.10.2019,"48,64","48,03","48,92","48,00","24,35M","2,96%"
10.10.2019,"47,24","46,06","47,45","46,06","15,23M","3,44%"
09.10.2019,"45,67","45,67","46,04","45,33","9,46M","0,77%"
08.10.2019,"45,32","46,30","46,37","45,32","14,54M","-1,56%"
07.10.2019,"46,04","46,30","46,98","46,04","12,45M","-1,18%"
04.10.2019,"46,59","45,70","46,79","45,68","21,19M","2,53%"
03.10.2019,"45,44","45,32","45,81","44,22","24,52M","0,75%"
02.10.2019,"45,10","46,90","46,90","45,10","24,32M","-5,47%"
01.10.2019,"47,71","47,85","48,88","47,66","16,04M","-0,08%"
30.09.2019,"47,75","47,65","48,04","47,21","12,07M","0,19%"
27.09.2019,"47,66","48,15","48,35","47,27","13,26M","-0,42%"
26.09.2019,"47,86","48,10","48,28","47,53","12,19M","0,00%"
25.09.2019,"47,86","47,03","48,02","46,83","14,52M","1,98%"
24.09.2019,"46,93","47,71","47,88","46,78","15,22M","-2,43%"
23.09.2019,"48,10","48,19","48,58","47,96","11,93M","-0,66%"
20.09.2019,"48,42","48,66","48,74","48,00","23,85M","0,21%"
19.09.2019,"48,32","48,40","48,58","47,76","15,64M","-0,17%"
18.09.2019,"48,40","49,00","49,00","47,98","15,20M","-1,02%"
17.09.2019,"48,90","48,25","49,15","48,23","14,43M","0,64%"
16.09.2019,"48,59","49,40","49,44","48,35","26,33M","-2,41%"
13.09.2019,"49,79","49,96","50,30","49,66","21,99M","0,20%"
12.09.2019,"49,69","48,62","49,77","48,60","39,26M","3,63%"
11.09.2019,"47,95","48,60","48,60","47,58","16,81M","-0,60%"
10.09.2019,"48,24","47,88","48,50","47,20","21,42M","0,73%"
09.09.2019,"47,89","46,70","47,89","46,29","24,28M","3,10%"
06.09.2019,"46,45","46,45","46,69","46,09","10,26M","-0,15%"
05.09.2019,"46,52","46,95","47,19","46,52","20,17M","0,00%"
04.09.2019,"46,52","46,05","46,52","45,97","12,41M","2,20%"
03.09.2019,"45,52","46,00","46,05","45,34","13,17M","-1,06%"
02.09.2019,"46,01","46,55","46,67","45,85","12,71M","0,97%"
30.08.2019,"45,57","45,99","46,33","45,27","27,16M","1,04%"
29.08.2019,"45,10","44,11","45,25","43,96","23,35M","3,73%"
28.08.2019,"43,48","43,31","44,17","43,04","13,38M","0,37%"
27.08.2019,"43,32","43,15","43,91","42,44","27,76M","1,21%"
26.08.2019,"42,80","43,49","43,65","42,54","13,01M","-1,11%"
23.08.2019,"43,28","43,83","44,59","42,90","26,02M","-1,39%"
22.08.2019,"43,89","44,38","44,38","43,55","12,21M","-0,59%"
21.08.2019,"44,15","43,60","44,33","43,07","16,14M","0,71%"
20.08.2019,"43,84","43,51","44,49","42,90","16,79M","0,44%"
19.08.2019,"43,65","44,29","44,43","43,21","27,45M","-0,09%"
16.08.2019,"43,69","44,45","44,70","43,48","19,46M","-0,46%"
15.08.2019,"43,89","45,01","45,50","43,17","24,42M","-2,21%"
14.08.2019,"44,88","45,98","45,98","44,73","24,66M","-3,48%"
13.08.2019,"46,50","45,55","46,80","45,35","19,91M","2,97%"
12.08.2019,"45,16","45,15","45,99","45,03","16,31M","-0,73%"
09.08.2019,"45,49","46,70","46,81","45,49","24,39M","-3,58%"
08.08.2019,"47,18","47,30","47,49","46,92","24,12M","1,51%"
07.08.2019,"46,48","45,85","46,48","45,45","20,68M","-0,30%"
06.08.2019,"46,62","46,46","46,97","46,29","21,83M","1,35%"
05.08.2019,"46,00","46,60","46,60","45,76","36,29M","-3,85%"
02.08.2019,"47,84","48,20","48,29","47,41","19,66M","-1,16%"
01.08.2019,"48,40","49,24","49,34","48,25","45,50M","-2,83%"
31.07.2019,"49,81","50,38","50,55","49,22","23,17M","-0,40%"
30.07.2019,"50,01","50,17","50,58","50,01","10,08M","-0,50%"
29.07.2019,"50,26","50,30","50,60","49,80","8,38M","0,06%"
26.07.2019,"50,23","51,00","51,05","50,18","12,54M","-0,51%"
25.07.2019,"50,49","51,00","51,12","50,10","12,71M","-0,32%"
24.07.2019,"50,65","51,09","51,26","50,55","25,06M","-2,14%"
23.07.2019,"51,76","52,40","52,60","51,76","11,05M","-1,32%"
22.07.2019,"52,45","52,18","52,66","51,81","11,29M","-0,51%"
19.07.2019,"52,72","52,81","53,23","52,55","11,48M","0,25%"
18.07.2019,"52,59","52,61","52,82","52,23","12,19M","-0,19%"
17.07.2019,"52,69","52,99","53,12","52,46","13,69M","-0,68%"
16.07.2019,"53,05","53,20","53,47","52,79","17,35M","0,68%"
15.07.2019,"52,69","52,46","52,93","52,25","20,02M","1,70%"
12.07.2019,"51,81","52,46","52,78","51,73","22,20M","-0,46%"
11.07.2019,"52,05","51,87","52,50","51,72","18,49M","-0,15%"
10.07.2019,"52,13","51,61","52,56","51,40","28,05M","2,32%"
08.07.2019,"50,95","50,65","51,60","50,46","12,67M","1,17%"
05.07.2019,"50,36","50,40","50,58","49,76","27,73M","-2,54%"
04.07.2019,"51,67","51,68","52,10","51,15","16,14M","0,74%"
03.07.2019,"51,29","51,77","51,97","51,15","19,93M","-0,19%"
